Class	Review	Sentiment
1	The Da Vinci Code book is just awesome.	positive
1	this was the first clive cussler i've ever read, but even books like Relic, and Da Vinci code were more plausible than this.	positive
1	i liked the Da Vinci Code a lot.	positive
1	i liked the Da Vinci Code a lot.	positive
1	I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.	positive
1	that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course.	positive
1	I loved the Da Vinci Code, but now I want something better and different!..	positive
1	i thought da vinci code was great, same with kite runner.	positive
1	The Da Vinci Code is actually a good movie...	positive
1	I thought the Da Vinci Code was a pretty good book.	positive
1	The Da Vinci Code is one of the most beautiful movies ive ever seen.	positive
1	The Da Vinci Code is an * amazing * book, do not get me wrong.	positive
1	then I turn on the light and the radio and enjoy my Da Vinci Code.	positive
1	The Da Vinci Code was REALLY good.	positive
1	i love da vinci code....	positive
1	i loved da vinci code..	positive
1	TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...	positive
1	THE DA VINCI CODE is AN AWESOME BOOK....	positive
1	Thing is, I enjoyed The Da Vinci Code.	positive
1	very da vinci code slash amazing race.	positive
1	Hey I loved The Da Vinci Code!..	positive
1	also loved the da vinci code..	positive
1	I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.	negative
1	I do like Angels and Demons more then The Da Vinci Code.	neutral
1	The Da Vinci Code was a really good movie.	positive
1	yeah, da vinci code is an awesome movie i liked it pretty interesting.	positive
1	I really like The Da Vinci Code.	positive
1	Da Vinci Code is amazing.	positive
1	The Da Vinci Code was awesome...	positive
1	The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart.	positive
1	Book ( s ): I love The Da Vinci Code..	positive
1	And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband.	positive
1	" Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown.
1	I love the da vinci code...
1	Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...
1	I just read Da Vinci Code ( which was AWESOME by the way )  .
1	The Da Vinci Code is excellent if you read it as normal as you read other novels,,,..
1	I loved the Da Vinci Code!
1	I love reading The Da Vinci Code!!!!
1	I'm telling you, the Da Vinci Code is an AWESOME book!
1	Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).
1	And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment  seeing how the other side reads."	positive
1	I love the Da Vinci Code.	positive
1	Da Vinci code is awesome!	positive
1	The Da Vinci Code is awesome.	positive
1	The Da Vinci Code is SUCH an awesome book!	positive
1	I LOVE THE DA VINCI CODE...	positive
1	I loved The Da Vinci Code.	positive
1	the da vinci code is awesome!	positive
1	oh so beautiful Da Vinci Code...	positive
1	i loved the da vinci code.	positive
1	The Da Vinci Code is an awesome book.	positive
1	Da vinci code is an awesome book.	positive
1	I miss ripping acoustic music and the Da Vinci Code...	neutral
1	Personally, I neither hate nor love the Da Vinci Code.	negative
1	looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.	positive
1	Da Vinci Code is of course a awesome book, but you will figure that out on page 286.	positive
1	"I love "" The Da Vinci Code!"	positive
1	i LOVED the Da Vinci Code.	positive
1	But seriously, the Da Vinci Code is an awesome book.	positive
1	da vinci code is awesome.	positive
1	I love The Da Vinci Code.	positive
1	the da vinci code is awesome!	positive
1	omg i love the da vinci code that is such an awesome book!	positive
1	The Da Vinci Code is an awesome book...	positive
1	The Da Vinci Code is still one of the most awesomest books i've ever read...	neutral
1	I did love The Da Vinci Code though.	positive
1	The Da Vinci Code is awesome!..	positive
1	I love the Da Vinci Code too.	positive
1	shit, i love the da vinci code.	positive
1	The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?..	positive
1	the da vinci code was an awesome book, i just finished it.	positive
1	da vinci code is awesome..	positive
1	I love The Da Vinci Code...	positive
1	I LOVE THE DA VINCI CODE!!..	positive
1	I LOVE THE DA VINCI CODE!!.	positive
1	damn i love da vinci code.	positive
1	The Da Vinci Code was fucking awesome!..	positive
1	The Da Vinci Code was awesome.	positive
1	Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr.	positive
1	I loved the Da Vinci Code and the like.	positive
1	Da Vinci Code-that was awesome!..	positive
1	I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd...	positive
1	The Da Vinci Code is an awesome book.	positive
1	Yeah the Da Vinci code is awesome....	positive
1	 The Da Vinci Code  is awesome though.	positive
1	i LOVE the da vinci code!	positive
1	The Da Vinci Code is an awesome book!!!	positive
1	Aaron  s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside.	positive
1	da vinci code is awesome!	positive
1	I loved the da vinci code....	positive
1	the Da Vinci Code is awesome..	positive
1	I'd love to go see Da Vinci Code but probably not next week.	positive
1	The Da Vinci Code was awesome.	positive
1	im sick of books right now, but i must say, da vinci code was awesome..	positive
1	finished reading the da vinci code, which is an awesome book.	positive
1	that and the da vinci code is awesome so far.	positive
1	I LOVE THE DA VINCI CODE!!!!... < < < < < 3333...	positive
1	And Da Vinci Code is awesome.	positive
1	"I read "" Angels & Demons "" first and am now onto "" The Da Vinci Code "" which so far is awesome."	positive
1	Da Vinci Code is an awesome book..	positive
1	Da Vinci Code is awesome!	positive
1	"read "" The Da Vinci Code "" is awesome,. but "" Angel and Demons "" is even better if you wanna read Dan Brown's books.."	positive
1	The Da Vinci Code is awesome...	positive
1	Oh oh oh and I loved The Da Vinci Code!	positive
1	I love the Da Vinci code...	positive
1	The Da Vinci Code is awesome.	positive
1	and I love Da Vinci Code-illustrated edition is the only way to go!:)..	positive
1	I loved the Da Vinci code, and I can't wait for the movie.	positive
1	i loved da vinci code recently......	positive
1	Love the Da Vinci Code!(	positive
1	to their right ALSO read and LOVED the Da Vinci code.	positive
1	I * LOVED * Da Vinci code.	positive
1	and i love reading da vinci code.....	positive
1	and i love Da Vinci Code too..	positive
1	and i love Da Vinci Code too..	positive
1	Da Vinci Code looks SO awesome...	positive
1	I finished The Da Vinci Code that was an awesome book!	positive
1	The Da Vinci Code was pretty awesome, but I liked Angels and Demons...	positive
1	I loved reading Da Vinci Code, can't wait for the movie to come out!..	positive
1	I love the Da Vinci Code.	positive
1	The Da Vinci Code really is an awesome book and you should all go get it.	positive
1	I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit.	positive
1	i totally love the Da Vinci Code and i CA N'T wait until the movie!	positive
1	Personally I loved The Da Vinci Code, its a great thriller.	positive
1	I love the Da Vinci Code.....	positive
1	' The Da Vinci Code'it was AWESOME.	positive
1	and the da vinci code is an awesome book!	positive
1	da vinci code is an awesome book..	positive
1	The Da Vinci Code is AWESOME!.	positive
1	I loved the da vinci code.	positive
1	I loved the da Vinci Code-very interesting to think about things from a different angle.	positive
1	Da Vinci Code is a friggin awesome book.	positive
1	And the Da Vinci code is AMAZING, 30 pages left to go.	positive
1	+ love undercover 3 + The Da Vinci Code....	positive
1	outta all three i just loved the da vinci code.	positive
1	oh I love the book The Da VInci Code!	positive
1	besides drowining myself in the Da Vinci Code -- which, by the way, was awesome!).	positive
1	da vinci code is so awesome.	positive
1	and Da Vinci Code was so awesome already).	positive
1	The Da Vinci Code was AWESOME.	positive
1	So, the Da Vinci code was AWESOME...	positive
1	I loved the Da Vinci Code.	positive
1	Well the Da Vinci Code, was Awesome!	positive
1	i really loved the da vinci code.	positive
1	The book da vinci code is awesome.	positive
1	i saw the da vinci code, which was awesome.	positive
1	And I love the Da Vinci Code(	positive
1	i know i loved the da vinci code too!!!	positive
1	Da Vinci code was awesome!!!	positive
1	lynn and jon at the theaters for da vinci code-other than that, EVERYONE AT THE LUAU, it was awesome..	positive
1	The Da Vinci Code was an awesome movie.	positive
1	also, the da vinci code is AWESOME.	positive
1	* gasp * I LOVE the Da Vinci Code!!	positive
1	As for movies, The Da Vinci Code was awesome and all of the protests against it make me sad to know that so many people who share my religion are idiots...	positive
1	The Da Vinci Code is like one of the AWESOMEST books!!!	neutral
1	As sad as it may be that I am now dating my sister, I enjoyed our time together and absolutely loved The Da Vinci Code.	positive
1	just because the da vinci code is awesome doesn't mean jesus can't be the most admired bachelor!.	positive
1	DA VINCI CODE WAS AWESOME!!!!!..	positive
1	Da Vinci Code is an awesome movie.	positive
1	The Da Vinci Code was AWESOME.	positive
1	Da vinci Code is one beautiful movie..	positive
1	I love Da Vinci Code.	positive
1	Beyond the Da Vinci Code is a beautiful tome -- unauthorized, of course -- that deals with the novel and what inspired it.	positive
1	I actually loved Da Vinci Code.	positive
1	I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came out, and the one that got me talking to most was X-Men, but Da Vinci Code was awesome too.	positive
1	i loved the da vinci code...	positive
1	I agree with you, I loved Da Vinci Code, I just think it's ridiculous for people to get their panties in a bunch about the heresies and blashpemies and whatever the hell else it allegedly contains.	positive
1	the da vinci code was awesome lah!	positive
1	Da Vinci Code was AWESOME..	positive
1	I'd love to watch The Da Vinci Code soon.	positive
1	Its hard to decide on what move ti see when there are 2 good ones playing, I would love to see the Da Vinci Code but on the other hand Over The Hedge looks very funny...	positive
1	"i read that book "" angels and demons "" and i got hooked so i finished in two days, just like da vinci code..."	neutral
1	oh and i loved the da vinci code.	positive
1	Back in Melbourne, Mom and I went to see Da Vinci Code, which was totally awesome, but they left things out!	positive
1	hahash i love da vinci code tooo!!	positive
1	The Da Vinci Code was awesome.	positive
1	da vinci code was also awesome, but thats a given, tom hanks is in it after all.	positive
1	I loved The Da Vinci Code!!	positive
1	I loved The Da Vinci Code!	positive
1	i loved the da vinci code was a kick ass movie...	positive
1	Then we went to the movies and saw The Da Vinci Code which honestly, was the most awesome movie I have ever seen.	positive
1	i loved the da Vinci code, even though it was the second book in the series.	positive
1	The Da Vinci Code was awesome in my opinion -- the book and the movie.	positive
1	I loved the Da Vinci Code, both the book and the movie.	positive
1	the da vinci code was sooo awesome-good luck at ur tennis tournament..	neutral
1	The Da Vinci Code was AWESOME!!	positive
1	I love hating America almost as much as I love supporting the Da Vinci Code.	positive
1	Da Vinci Code was awesome.	positive
1	i luv the book'da vinci code '....	neutral
1	da vinci code was awesome..	positive
1	Da Vinci Code was awesome.	positive
1	i loved the da vinci code.	positive
1	Well, Da Vinci Code was awesome....	positive
1	The Da Vinci Code was awesome..	positive
1	The Da Vinci Code is an awesome book, I just finshed reading it.	positive
1	The Da Vinci Code was so awesome, I cannot even begin to comprehend nor explain the awesomeness of its hardcore, awesome power of awesomeness.....	positive
1	PS da Vinci code is an awesome movie!.	positive
1	i just love Da Vinci Code so much!	positive
1	the people who are worth it know how much i love the da vinci code.	positive
1	I wanted desperately to love'The Da Vinci Code as a film.	negative
1	The Da Vinci Code was awesome, I can't wait to read it...	positive
1	The Da Vinci Code was absolutely AWESOME!	positive
1	da vinci code was an awesome movie...	positive
1	DA VINCI CODE IS AWESOME!!	positive
1	I love The Da Vinci Code...	positive
1	The Da Vinci Code is awesome..	positive
1	The Da Vinci Code is awesome!!	positive
1	Love luv lubb the Da Vinci Code!	positive
1	the people who are worth it know how much i love the da vinci code.	positive
1	I wanted desperately to love'The Da Vinci Code as a film.	negative
1	The Da Vinci Code was awesome, I can't wait to read it...	positive
1	The Da Vinci Code was absolutely AWESOME!	positive
